,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
0,1,          Michael Hussey CSK    ,733,17,17,3,95,52.35,566,129.5,0,6,81,17,2013
1,2,           Chris Gayle RCB   ,708,16,16,4,175*,59,453,156.29,1,4,57,51,2013
2,3,           Virat Kohli RCB   ,634,16,16,2,99,45.28,457,138.73,0,6,64,22,2013
3,4,           Suresh Raina CSK   ,548,18,17,4,100*,42.15,365,150.13,1,4,50,18,2013
4,5,           Shane Watson RR   ,543,16,16,2,101,38.78,380,142.89,1,2,59,22,2013
5,6,           Rohit Sharma MI   ,538,19,19,5,79*,38.42,409,131.54,0,4,35,28,2013
6,7,           Dinesh Karthik MI   ,510,19,19,1,86,28.33,411,124.08,0,2,54,14,2013
7,8,           Ajinkya Rahane RR   ,488,18,18,4,68*,34.85,458,106.55,0,4,42,11,2013
8,9,           Rahul Dravid RR   ,471,18,17,1,65,29.43,425,110.82,0,4,64,5,2013
9,10,           MS Dhoni CSK   ,461,18,16,5,67*,41.9,283,162.89,0,4,32,25,2013
10,11,           Aaron Finch PWI   ,456,14,14,0,67,32.57,336,135.71,0,4,54,16,2013
11,12,           Robin Uthappa PWI   ,434,16,16,0,75,27.12,371,116.98,0,2,42,12,2013
12,13,           Kieron Pollard MI   ,420,18,18,8,66*,42,281,149.46,0,3,27,29,2013
13,14,           David Miller PBKS   ,418,12,12,5,101*,59.71,254,164.56,1,3,28,24,2013
14,15,           Dwayne Smith MI   ,418,13,13,0,68,32.15,341,122.58,0,4,40,19,2013
15,16,           David Warner DC   ,410,16,16,3,77,31.53,323,126.93,0,4,41,14,2013
16,17,           Gautam Gambhir KKR   ,406,16,16,0,60,25.37,343,118.36,0,4,51,5,2013
17,18,           AB de Villiers RCB   ,360,14,14,4,64,36,219,164.38,0,2,34,15,2013
18,19,           Yusuf Pathan KKR   ,332,16,16,5,72,30.18,240,138.33,0,1,30,14,2013
19,20,           Mahela Jayawardena DC   ,331,15,15,0,66,22.06,313,105.75,0,2,39,6,2013
20,21,           Murali Vijay CSK   ,312,15,15,1,55,22.28,286,109.09,0,2,27,8,2013
21,22,           Shikhar Dhawan SRH   ,311,10,10,2,73*,38.87,253,122.92,0,3,37,5,2013
22,23,           Jacques Kallis KKR   ,311,16,16,1,41,20.73,322,96.58,0,0,35,3,2013
23,24,           Eoin Morgan KKR   ,307,14,13,2,51,27.9,240,127.91,0,1,28,13,2013
24,25,           Shaun Marsh PBKS   ,300,8,8,0,77,37.5,249,120.48,0,3,39,4,2013
25,26,           Virender Sehwag DC   ,295,13,13,1,95*,24.58,233,126.6,0,1,41,6,2013
26,27,           Adam Gilchrist PBKS   ,294,13,13,1,85*,24.5,229,128.38,0,1,41,6,2013
27,28,           Parthiv Patel SRH   ,294,13,13,0,61,22.61,255,115.29,0,1,37,4,2013
28,29,           Brad Hodge RR   ,293,17,14,7,54*,41.85,218,134.4,0,1,27,9,2013
29,30,           Stuart Binny RR   ,293,17,16,7,41*,32.55,199,147.23,0,0,25,12,2013
30,31,           Sachin Tendulkar MI   ,287,14,14,1,54,22.07,231,124.24,0,1,38,5,2013
31,32,           Ambati Rayudu MI   ,265,19,17,3,37,18.92,231,114.71,0,0,22,4,2013
32,33,           Mandeep Singh PBKS   ,260,16,14,1,77*,20,223,116.59,0,1,36,0,2013
33,34,           Manvinder Bisla KKR   ,255,14,14,1,92,19.61,236,108.05,0,2,36,6,2013
34,35,           Hanuma Vihari SRH   ,241,17,17,3,46,17.21,278,86.69,0,0,17,1,2013
35,36,           Yuvraj Singh PWI   ,238,13,13,1,34,19.83,190,125.26,0,0,14,15,2013
36,37,           David Hussey PBKS   ,235,12,11,1,41,23.5,209,112.44,0,0,20,6,2013
37,38,           Thisara Perera SRH   ,233,16,14,4,40,23.3,163,142.94,0,0,12,14,2013
38,39,           Cameron White SRH   ,209,13,13,1,52,17.41,191,109.42,0,1,18,7,2013
39,40,           Sanju Samson RR   ,206,11,10,2,63,25.75,178,115.73,0,1,19,5,2013
40,41,           Ravindra Jadeja CSK   ,201,18,14,6,38*,25.12,135,148.88,0,0,17,6,2013
41,42,           Azhar Mahmood PBKS   ,196,11,10,0,80,19.6,154,127.27,0,2,22,5,2013
42,43,           Ben Rohrer DC   ,193,8,8,2,64*,32.16,140,137.85,0,1,21,5,2013
43,44,           Darren Sammy SRH   ,174,10,9,3,60,29,132,131.81,0,1,11,10,2013
44,45,           Angelo Mathews PWI   ,172,11,10,3,40,24.57,139,123.74,0,0,5,10,2013
45,46,           Moises Henriques RCB   ,165,10,9,5,44,41.25,125,132,0,0,20,3,2013
46,47,           Manan Vohra PBKS   ,161,12,10,2,43*,20.12,117,137.6,0,0,22,2,2013
