,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
0,1,          David Warner SRH    ,692,12,12,2,100*,69.2,481,143.86,1,8,57,21,2019
1,2,           KL Rahul PBKS   ,593,14,14,3,100*,53.9,438,135.38,1,6,49,25,2019
2,3,           Quinton de Kock MI   ,529,16,16,1,81,35.26,398,132.91,0,4,45,25,2019
3,4,           Shikhar Dhawan DC   ,521,16,16,1,97*,34.73,384,135.67,0,5,64,11,2019
4,5,           Andre Russell KKR   ,510,14,13,4,80*,56.66,249,204.81,0,4,31,52,2019
5,6,           Chris Gayle PBKS   ,490,13,13,1,99*,40.83,319,153.6,0,4,45,34,2019
6,7,           Rishabh Pant DC   ,488,16,16,3,78*,37.53,300,162.66,0,3,37,27,2019
7,8,           Virat Kohli RCB   ,464,14,14,0,100,33.14,328,141.46,1,2,46,13,2019
8,9,           Shreyas Iyer DC   ,463,16,16,1,67,30.86,386,119.94,0,3,41,14,2019
9,10,           Jonny Bairstow SRH   ,445,10,10,2,114,55.62,283,157.24,1,2,48,18,2019
10,11,           AB de Villiers RCB   ,442,13,13,3,82*,44.2,287,154,0,5,31,26,2019
11,12,           Suryakumar Yadav MI   ,424,16,15,2,71*,32.61,324,130.86,0,2,45,10,2019
12,13,           MS Dhoni CSK   ,416,15,12,7,84*,83.2,309,134.62,0,3,22,23,2019
13,14,           Chris Lynn KKR   ,405,13,13,0,82,31.15,290,139.65,0,4,41,22,2019
14,15,           Rohit Sharma MI   ,405,15,15,1,67,28.92,315,128.57,0,2,52,10,2019
15,16,           Hardik Pandya MI   ,402,16,15,6,91,44.66,210,191.42,0,1,28,29,2019
16,17,           Shane Watson CSK   ,398,17,17,0,96,23.41,312,127.56,0,3,42,20,2019
17,18,           Faf du Plessis CSK   ,396,12,12,1,96,36,321,123.36,0,3,36,15,2019
18,19,           Ajinkya Rahane RR   ,393,14,13,1,105*,32.75,285,137.89,1,1,45,9,2019
19,20,           Suresh Raina CSK   ,383,17,17,1,59,23.93,314,121.97,0,3,45,9,2019
20,21,           Parthiv Patel RCB   ,373,14,14,0,67,26.64,268,139.17,0,2,48,10,2019
21,22,           Prithvi Shaw DC   ,353,16,16,0,99,22.06,264,133.71,0,2,45,9,2019
22,23,           Manish Pandey SRH   ,344,12,11,3,83*,43,263,130.79,0,3,34,6,2019
23,24,           Nitish Rana KKR   ,344,14,11,1,85*,34.4,235,146.38,0,3,27,21,2019
24,25,           Sanju Samson RR   ,342,12,12,2,102*,34.2,230,148.69,1,0,28,13,2019
25,26,           Mayank Agarwal PBKS   ,332,13,13,0,58,25.53,234,141.88,0,2,26,14,2019
26,27,           Steve Smith RR   ,319,12,10,2,73*,39.87,275,116,0,3,30,4,2019
27,28,           Jos Buttler RR   ,311,8,8,0,89,38.87,205,151.7,0,3,38,14,2019
28,29,           Shubman Gill KKR   ,296,14,13,4,76,32.88,238,124.36,0,3,21,10,2019
29,30,           Robin Uthappa KKR   ,282,12,11,2,67*,31.33,245,115.1,0,1,28,10,2019
30,31,           Ambati Rayudu CSK   ,282,17,17,5,57,23.5,303,93.06,0,1,20,7,2019
31,32,           Kieron Pollard MI   ,279,16,14,6,83,34.87,178,156.74,0,1,14,22,2019
32,33,           Dinesh Karthik KKR   ,253,14,13,5,97*,31.62,173,146.24,0,2,22,14,2019
33,34,           Vijay Shankar SRH   ,244,15,14,2,40*,20.33,193,126.42,0,0,11,12,2019
34,35,           Moeen Ali RCB   ,220,11,10,2,66,27.5,133,165.41,0,2,16,17,2019
35,36,           David Miller PBKS   ,213,10,10,2,59*,26.62,164,129.87,0,1,19,7,2019
36,37,           Marcus Stoinis RCB   ,211,10,10,6,46*,52.75,156,135.25,0,0,14,10,2019
37,38,           Colin Ingram DC   ,184,12,12,2,47,18.4,154,119.48,0,0,20,5,2019
38,39,           Krunal Pandya MI   ,183,16,15,4,42,16.63,150,122,0,0,18,5,2019
39,40,           Sarfaraz Khan PBKS   ,180,8,5,1,67,45,143,125.87,0,1,19,4,2019
40,41,           Nicholas Pooran PBKS   ,168,7,6,0,48,28,107,157,0,0,10,14,2019
41,42,           Mandeep Singh PBKS   ,165,13,12,8,33*,41.25,120,137.5,0,0,10,4,2019
42,43,           Kedar Jadhav CSK   ,162,14,12,3,58,18,169,95.85,0,1,19,3,2019
43,44,           Riyan Parag RR   ,160,7,5,0,50,32,126,126.98,0,1,17,5,2019
44,45,           Kane Williamson SRH   ,156,9,9,2,70*,22.28,130,120,0,1,12,5,2019
45,46,           Sunil Narine KKR   ,143,12,9,1,47,17.87,86,166.27,0,0,17,9,2019
46,47,           Rahul Tripathi RR   ,141,8,7,1,50,23.5,118,119.49,0,1,13,2,2019
47,48,           Ben Stokes RR   ,123,9,9,3,46,20.5,99,124.24,0,0,8,4,2019
48,49,           Mohammad Nabi SRH   ,115,8,7,1,31,19.16,76,151.31,0,0,8,7,2019
49,50,           Axar Patel DC   ,110,14,12,6,26,18.33,88,125,0,0,10,3,2019
50,51,           Ravindra Jadeja CSK   ,106,16,9,6,31*,35.33,88,120.45,0,0,7,4,2019
51,52,           Ishan Kishan MI   ,101,7,6,0,28,16.83,100,101,0,0,8,4,2019
52,53,           Gurkeerat Mann Singh RCB   ,98,3,3,0,65,32.66,70,140,0,1,11,2,2019
53,54,           Yuvraj Singh MI   ,98,4,4,0,53,24.5,75,130.66,0,1,7,6,2019
54,55,           Sam Curran PBKS   ,95,9,8,4,55*,23.75,55,172.72,0,1,13,3,2019
55,56,           Shimron Hetmyer RCB   ,90,5,5,0,75,18,73,123.28,0,1,4,7,2019
56,57,           Wriddhiman Saha SRH   ,86,5,5,0,28,17.2,53,162.26,0,0,13,1,2019
57,58,           Colin Munro DC   ,84,4,4,0,40,21,70,120,0,0,9,4,2019
58,59,           Martin Guptill SRH   ,81,3,3,0,36,27,53,152.83,0,0,4,7,2019
59,60,           Dwayne Bravo CSK   ,80,12,9,4,27,16,66,121.21,0,0,6,3,2019
60,61,           Sherfane Rutherford DC   ,73,7,7,2,28*,14.6,54,135.18,0,0,2,7,2019
61,62,           Liam Livingstone RR   ,71,4,4,1,44,23.66,48,147.91,0,0,6,5,2019
62,63,           Stuart Binny RR   ,70,8,5,2,33*,23.33,40,175,0,0,5,4,2019
63,64,           Jofra Archer RR   ,67,11,5,3,27*,33.5,40,167.5,0,0,4,4,2019
64,65,           Murali Vijay CSK   ,64,2,2,0,38,32,61,104.91,0,0,6,1,2019
65,66,           Deepak Hooda SRH   ,64,11,7,1,20,10.66,63,101.58,0,0,5,1,2019
66,67,           Shreyas Gopal RR   ,63,14,7,3,19*,15.75,46,136.95,0,0,8,1,2019
67,68,           Akshdeep Nath RCB   ,61,8,5,0,24,12.2,57,107.01,0,0,5,2,2019
68,69,           Evin Lewis MI   ,48,3,3,0,32,16,52,92.3,0,0,4,2,2019
69,70,           Colin de Grandhomme RCB   ,46,4,4,1,37,15.33,49,93.87,0,0,4,2,2019
70,71,           Piyush Chawla KKR   ,42,13,5,2,14*,14,37,113.51,0,0,4,2,2019
71,72,           Ravichandran Ashwin PBKS   ,42,14,6,1,17*,8.4,28,150,0,0,3,3,2019
72,73,           Shivam Dube RCB   ,40,4,4,1,24,13.33,33,121.21,0,0,1,3,2019
73,74,           Yusuf Pathan SRH   ,40,10,8,5,16*,13.33,45,88.88,0,0,1,1,2019
74,75,           Rinku Singh KKR   ,37,5,3,1,30,18.5,34,108.82,0,0,1,2,2019
75,76,           Rashid Khan SRH   ,34,15,8,3,17*,6.8,23,147.82,0,0,2,2,2019
76,77,           Mitchell Santner CSK   ,32,4,2,1,22,32,23,139.13,0,0,0,3,2019
77,78,           Chris Morris DC   ,32,9,6,0,17,5.33,37,86.48,0,0,1,2,2019
78,79,           Rahul Tewatia DC   ,26,5,4,3,11*,26,22,118.18,0,0,2,1,2019
79,80,           Umesh Yadav RCB   ,25,11,7,5,14,12.5,25,100,0,0,3,1,2019
80,81,           Amit Mishra DC   ,21,11,4,2,8,10.5,24,87.5,0,0,2,0,2019
81,82,           Harpreet Brar PBKS   ,20,2,1,1,20*,0,12,166.66,0,0,2,1,2019
82,83,           Prayas Ray Barman RCB   ,19,1,1,0,19,19,24,79.16,0,0,2,0,2019
83,84,           Ben Cutting MI   ,18,3,3,1,13*,9,17,105.88,0,0,1,1,2019
84,85,           Krishnappa Gowtham RR   ,18,7,4,1,9,6,19,94.73,0,0,1,1,2019
85,86,           Keemo Paul DC   ,18,8,6,1,7,3.6,24,75,0,0,1,1,2019
86,87,           Prabhsimran Singh PBKS   ,16,1,1,0,16,16,17,94.11,0,0,1,1,2019
87,88,           Siddhesh Lad MI   ,15,1,1,0,15,15,13,115.38,0,0,1,1,2019
88,89,           Alzarri Joseph MI   ,15,3,2,2,15*,0,13,115.38,0,0,2,0,2019
89,90,           Shardul Thakur CSK   ,14,10,3,1,12*,7,7,200,0,0,1,1,2019
90,91,           Kagiso Rabada DC   ,14,12,4,1,9,4.66,15,93.33,0,0,0,1,2019
91,92,           Kuldeep Yadav KKR   ,12,9,4,2,10*,6,8,150,0,0,1,0,2019
92,93,           Rahul Chahar MI   ,12,13,4,2,10,6,11,109.09,0,0,2,0,2019
93,94,           Bhuvneshwar Kumar SRH   ,12,15,5,2,7*,4,19,63.15,0,0,1,0,2019
94,95,           Carlos Brathwaite KKR   ,11,2,2,0,6,5.5,10,110,0,0,1,0,2019
95,96,           Mitchell McClenaghan MI   ,11,5,4,1,10,3.66,16,68.75,0,0,2,0,2019
96,97,           Ishant Sharma DC   ,10,13,3,3,10*,0,3,333.33,0,0,1,1,2019
97,98,           KC Cariappa KKR   ,9,1,1,1,9*,0,3,300,0,0,0,1,2019
98,99,           Abhishek Sharma SRH   ,9,3,3,1,5*,4.5,9,100,0,0,1,0,2019
99,100,           Heinrich Klaasen RCB   ,9,3,2,0,6,4.5,10,90,0,0,0,0,2019
100,101,           Shakib Al Hasan SRH   ,9,3,1,0,9,9,10,90,0,0,0,0,2019
101,102,           Tim Southee RCB   ,9,3,1,1,9*,0,9,100,0,0,0,0,2019
102,103,           Pawan Negi RCB   ,9,7,4,0,5,2.25,12,75,0,0,1,0,2019
103,104,           Mahipal Lomror RR   ,8,2,1,0,8,8,3,266.66,0,0,2,0,2019
104,105,           Nikhil Naik KKR   ,7,1,1,0,7,7,16,43.75,0,0,1,0,2019
105,106,           Ricky Bhui SRH   ,7,1,1,0,7,7,12,58.33,0,0,0,0,2019
106,107,           Trent Boult DC   ,7,5,3,2,6,7,4,175,0,0,0,1,2019
107,108,           Deepak Chahar CSK   ,7,17,2,0,7,3.5,9,77.77,0,0,1,0,2019
108,109,           Jagadeesha Suchith DC   ,6,1,1,0,6,6,15,40,0,0,0,0,2019
109,110,           Ish Sodhi RR   ,6,2,1,0,6,6,11,54.54,0,0,0,0,2019
110,111,           Mayank Markande MI   ,6,3,2,1,6,6,5,120,0,0,1,0,2019
111,112,           Sandeep Sharma SRH   ,6,11,2,2,5*,0,3,200,0,0,1,0,2019
112,113,           Yuzvendra Chahal RCB   ,6,14,3,1,4,3,16,37.5,0,0,0,0,2019
113,114,           Dhruv Shorey CSK   ,5,1,1,0,5,5,8,62.5,0,0,0,0,2019
114,115,           Karun Nair PBKS   ,5,1,1,0,5,5,6,83.33,0,0,0,0,2019
115,116,           Rasikh Salam MI   ,5,1,1,1,5*,0,4,125,0,0,0,0,2019
116,117,           Dhawal Kulkarni RR   ,5,10,1,1,5*,0,3,166.66,0,0,1,0,2019
117,118,           Avesh Khan DC   ,4,1,1,1,4*,0,3,133.33,0,0,1,0,2019
118,119,           Hanuma Vihari DC   ,4,2,2,0,2,2,8,50,0,0,0,0,2019
119,120,           Mohammed Siraj RCB   ,4,9,4,3,3*,4,14,28.57,0,0,0,0,2019
120,121,           Barinder Sran MI   ,3,2,1,1,3*,0,3,100,0,0,0,0,2019
121,122,           Ashton Turner RR   ,3,4,4,1,3*,1,10,30,0,0,0,0,2019
122,123,           Varun Aaron RR   ,3,5,1,1,3*,0,7,42.85,0,0,0,0,2019
123,124,           Hardus Viljoen PBKS   ,3,6,3,1,2*,1.5,7,42.85,0,0,0,0,2019
124,125,           Murugan Ashwin PBKS   ,3,10,3,2,1*,3,5,60,0,0,0,0,2019
125,126,           Navdeep Saini RCB   ,2,13,2,1,2,2,4,50,0,0,0,0,2019
126,127,           Basil Thampi SRH   ,1,3,1,1,1*,0,1,100,0,0,0,0,2019
127,128,           Washington Sundar RCB   ,1,3,2,0,1,0.5,3,33.33,0,0,0,0,2019
128,129,           Harry Gurney KKR   ,1,8,1,1,1*,0,5,20,0,0,0,0,2019
129,130,           Harbhajan Singh CSK   ,1,11,1,0,1,1,3,33.33,0,0,0,0,2019
130,131,           Jaydev Unadkat RR   ,1,11,4,3,1,1,3,33.33,0,0,0,0,2019
131,132,           Mohammad Shami PBKS   ,1,14,2,1,1*,1,2,50,0,0,0,0,2019
132,133,           Joe Denly KKR   ,0,1,1,0,0*,0,1,0,0,0,0,0,2019
133,134,           Mohit Sharma CSK   ,0,1,1,1,0*,0,2,0,0,0,0,0,2019
134,135,           Sam Billings CSK   ,0,1,1,0,0*,0,4,0,0,0,0,0,2019
135,136,           Harshal Patel DC   ,0,2,2,1,0*,0,2,0,0,0,0,0,2019
136,137,           Prithvi Raj Yarra KKR   ,0,2,1,1,0*,0,1,0,0,0,0,0,2019
137,138,           Mujeeb Ur Rahman PBKS   ,0,5,3,2,0*,0,4,0,0,0,0,0,2019
138,139,           Andrew Tye PBKS   ,0,6,1,1,0*,0,2,0,0,0,0,0,2019
139,140,           Sandeep Lamichhane DC   ,0,6,1,0,0*,0,1,0,0,0,0,0,2019
140,141,           Siddarth Kaul SRH   ,0,7,2,1,0*,0,1,0,0,0,0,0,2019
141,142,           Khaleel Ahmed SRH   ,0,9,1,0,0*,0,1,0,0,0,0,0,2019
142,143,           Prasidh Krishna KKR   ,0,11,1,0,0*,0,2,0,0,0,0,0,2019
143,144,           Jasprit Bumrah MI   ,0,16,3,3,0*,0,1,0,0,0,0,0,2019
